ID,Exp,Rep,Trial_nb,Arena,Time,Temp,Mass,Dist,UZ,Latency,LatBi,DistPre,UZPre,LatencyPre,LatBiPre,DistPost,UZPost,LatencyPost,LatBiPost
GS_Pred_NM_25,Post,6,Trial    22,Arena 4,11:59,25.4,0.402,7.99366,1,360,0,NA,NA,NA,NA,7.99366,1,360,0
GS_Pred_NM_26,Post,4,Trial     8,Arena 3,1:27,26.1,0.432,689.115,20,1,1,NA,NA,NA,NA,689.115,20,1,1
GS_Pred_NM_26,Post,5,Trial    14,Arena 1,3:55,26.6,0.429,312.705,20,360,0,NA,NA,NA,NA,312.705,20,360,0
GS_Pred_NM_26,Post,6,Trial    20,Arena 4,6:12,26,0.423,42.4076,1,360,0,NA,NA,NA,NA,42.4076,1,360,0
GS_Pred_NM_27,Post,4,Trial     3,Arena 2,11:22,26.1,0.356,238.443,15,47,1,NA,NA,NA,NA,238.443,15,47,1
GS_Pred_NM_27,Post,5,Trial    18,Arena 1,5:30,25.4,0.349,218.629,21,360,0,NA,NA,NA,NA,218.629,21,360,0
GS_Pred_NM_27,Post,6,Trial    27,Arena 2,3:52,26.3,0.365,144.897,12,289,1,NA,NA,NA,NA,144.897,12,289,1
GS_Pred_NM_28,Post,4,Trial     9,Arena 3,1:52,26.3,0.367,190.736,25,360,0,NA,NA,NA,NA,190.736,25,360,0
GS_Pred_NM_28,Post,5,Trial    14,Arena 3,3:55,26.6,0.363,209.371,20,360,0,NA,NA,NA,NA,209.371,20,360,0
GS_Pred_NM_28,Post,6,Trial    22,Arena 3,11:59,25.4,0.374,407.731,20,109,1,NA,NA,NA,NA,407.731,20,109,1
GS_Pred_NM_29,Post,4,Trial     9,Arena 4,1:52,26.3,0.457,344.511,20,323,1,NA,NA,NA,NA,344.511,20,323,1
GS_Pred_NM_29,Post,5,Trial    15,Arena 2,4:18,26.5,0.455,43.97,1,200,1,NA,NA,NA,NA,43.97,1,200,1
GS_Pred_NM_29,Post,6,Trial    21,Arena 4,6:32,26.1,0.453,546.691,21,181,1,NA,NA,NA,NA,546.691,21,181,1
GS_Pred_NM_3,Post,4,Trial    10,Arena 4,2:16,26.4,0.248,225.561,20,20,1,NA,NA,NA,NA,225.561,20,20,1
GS_Pred_NM_3,Post,5,Trial    19,Arena 2,5:52,25.8,0.242,200.276,19,6,1,NA,NA,NA,NA,200.276,19,6,1
GS_Pred_NM_3,Post,6,Trial    25,Arena 1,3:11,26.2,0.257,50.7611,3,62,1,NA,NA,NA,NA,50.7611,3,62,1
GS_Pred_NM_30,Post,4,Trial     1,Arena 4,10:24,25.3,0.39,13.8421,1,360,0,NA,NA,NA,NA,13.8421,1,360,0
GS_Pred_NM_30,Post,5,Trial    19,Arena 1,5:52,25.8,0.359,603.662,25,58,1,NA,NA,NA,NA,603.662,25,58,1
GS_Pred_NM_30,Post,6,Trial    27,Arena 3,3:52,26.3,0.366,158.336,20,47,1,NA,NA,NA,NA,158.336,20,47,1
GS_Pred_NM_31,Post,4,Trial    10,Arena 3,2:16,26.4,0.3,188.878,20,61,1,NA,NA,NA,NA,188.878,20,61,1
GS_Pred_NM_31,Post,5,Trial    18,Arena 3,5:30,25.4,0.287,377.407,21,14,1,NA,NA,NA,NA,377.407,21,14,1
